ExpressionAnglaise,ExpressionFrançaise,Image,Origine,Type
All ears,Tout ouïe,allEars.jpg,"Cettte expression remonte au 16ème siècle. John Heywood est l'un des premiers à l'utiliser dans sa collection de proverbes de 1546.",3
To cross one’s fingers,Croiser les doigts,crossfingers.webp,"Cette formulation provient de l'ère médiévale. Elle servait à éloigner le Diable ou conjurer le mauvais sort.  De plus, les chrétiens l'auraient utilisée comme signe de reconnaissance pour éviter la persécution.",1
To beat around the bush,Tourner autour du pot,beatBush.jpg,"Cette expression trouve son origine dans la chasse où l'on battait les buissons pour faire sortir le gibier sans s'approcher directement de ce dernier. Il s'agit donc aujourd'hui d'une méatphore signifiant que l'on n'aborde pas directement un problème.",2
A piece of cake,Quelque chose de très facile,pieceCake.jpg,"Cette expression commune à de nombreux pays aurait émergé en Angleterre au XXème siècle. Elle fait référence à la simplicité et la satisfaction de manger un morceau de gâteau.",1
To feel under the weather,Ne pas se sentir bien,underWeather.jpg,"Cette expression pourrait trouver son origine dans le milieu maritime. En effet, quand un marin avait le mal de mer, il était envoyé sous le pont pour ne plus avoir à supporter le temps.",3
To take it easy,Détends-toi,takeiteasy.webp,"Cette expression est apparue pour la première fois dans le roman 'Tom Sawyer' de Mark Twain en 1876. Elle est utilisée pour dire à quelqu'un de se détendre ou de ne pas se précipiter.",3
Go round in circles,Tourner en rond,roundCircles.jpg,"Cette expression date de la première moitié du XXème siècle. Patricia Wentworth l'utilise dans sa nouvelle Pursuit of a Parcel de 1942 pour parler d'un de ses caractères. Cependant, on pense que son invention viendrait du principe des courses à pieds.. ",1
To sleep on it,La nuit porte conseil,sleepIt.jpg,"Dès 1519, on retrouve une occurrence de cette expression en vieil anglais dans State Paper of Henry VIII selon les termes suivants : His Grace […] sayd that the wold slepe and drem upon the matter",2
To be broke,Être fauché,bebroke.webp,"Après la Renaissance, les banquiers avaient pour habitude de prêter de l'argent via des tuiles en porcelaine. Le nom du propriétaire, la limite de crédit et le nom de la banque étaient gravés sur ces tuiles. Pour chaque emprunt, la tuile était vérifiée. Cependant, quand le client n'était plus solvable, la tuile était cassée.",3
To know it like the back of one’s hand,Connaître quelque chose sur le bout des doigts,backofhand.webp,"Cette expression date du XXème siècle et a été popularisée après son utilisation dans le roman d'aventure Catriona de Robert Louis Stevenson.",2
Once in a blue moon,Tous les 36 du mois,blueMoon.jpg,"Contrairement à ce qu'on pourrait croire, cette expression ne fait pas référence à une deuxième pleine lune dans le même mois souvent qualifiée de lune bleue (ce phénomène n'apparaît que tous les 32 mois). En effet, elle est dérivée de l'expression once in a moon qui signifie une fois par mois, donc occasionellement.",2
Out of the blue,Sans crier gare,outBlue.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire quelque chose qui arrive de manière inattendue. Son origine exacte est inconnue, mais elle pourrait faire référence au ciel bleu d'où peuvent surgir des événements imprévus.",3
As easy as a duck soup,Un jeu d’enfant,duckSoupe.webp,"Cette expression est utilisée depuis le XIXème siècle pour décrire quelque chose de facile à faire. Son origine exacte est inconnue, mais elle pourrait faire référence à la facilité de chasser les canards ou à la simplicité de préparer une soupe de canard.",3
The cream of the crop,La crème de la crème,creamCrop.jpg,"Cette expression est utilisée depuis le XVIIème siècle pour décrire le meilleur d'un groupe ou d'une catégorie. Elle fait référence à la crème qui remonte à la surface du lait, symbole de la partie la plus riche et la plus pure.",3
An early bird,Un lève tôt,early.jpg,"Cette expression existe depuis le XIVème siècle. Elle fait référence aux oiseaux qui se lèvent tôt pour chercher leur nourriture, symbole de l'avantage d'être matinal.",5
A dark owl,Un couche-tard,nightOwl.jpg,"Cette expression est utilisée depuis le XVIIème siècle pour décrire une personne qui reste éveillée tard dans la nuit. Elle fait référence aux chouettes et aux hiboux, oiseaux nocturnes par excellence.",5
A cock and bull story,Une histoire à dormir debout,cockAndBull.webp,"Cette expression est utilisée depuis le XVIIIème siècle pour décrire une histoire invraisemblable. Son origine exacte est inconnue, mais elle pourrait faire référence à deux auberges anglaises du nom de 'Cock' et 'Bull' où les voyageurs auraient l'habitude de raconter des histoires exagérées.",2
It’s raining cats and dogs,Il pleut des cordes,rainCatDog.jpg,Cette expression serait due aux déluges du XVIIème siècle en Angleterre où les rues inondées par de fortes pluies révélaient parfois les corps de chats et de chiens emportés par les eaux.,2
To create a storm in a teacup,En faire tout un fromage,teaCut.jpg,,2
That rings me a bell,Cela me dit quelque chose,ringBell.jpg,,4
We are in deep water,On est dans le pétrin,deepWater.jpg,,2
As good as gold,Bien élevé,goodAsGold,"Cette expression est utilisée depuis le XIXème siècle pour décrire quelqu'un de fiable et de digne de confiance. Elle fait référence à l'or, symbole de valeur et de qualité.",3
To spill the beans,Vendre la mèche,spillBeans.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire le fait de révéler un secret. Son origine exacte est inconnue, mais elle pourrait faire référence à la pratique de voter en utilisant des haricots dans la Grèce antique. Si quelqu'un renversait les haricots, le vote était révélé.",4
To get cold feet,Avoir le trac,coldFeet.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire une soudaine perte de courage ou de confiance. Son origine exacte est inconnue, mais elle pourrait faire référence à la sensation de froid aux pieds qui accompagne souvent la peur.",4
Icing on the cake,La cerise sur le gâteau,icingCake.jpg,"Cette expression est utilisée depuis le XXème siècle pour décrire quelque chose qui ajoute une touche finale agréable à une situation déjà positive. Elle fait référence au glaçage sucré qui recouvre les gâteaux, symbole d'une douceur supplémentaire.",2
I worked my fingers to the bone,Travailler d’arrache-pied,fingersBone.jpg,,3
It’s not my cup of tea,Ce n’est pas ma tasse de thé,cupTea.jpg,,1
Seize the day,Profite du moment présent,seizeDay.webp,"Cette expression est une traduction de l'expression latine 'Carpe Diem'. Elle a été popularisée par le poète romain Horace au Ier siècle avant J.-C. et est utilisée depuis pour encourager à profiter du moment présent.",3
To belong somewhere,Être à sa place,Opposite : a fish out of water,,3
Don’t judge a book by its cover,Ne pas se fier aux apparences,judgeBook.jpg,"Cette expression est utilisée depuis le XIXème siècle pour mettre en garde contre le fait de juger quelque chose ou quelqu'un sur l'apparence. Emme a été popularisée par le romancier américain George Eliot en 1860.",1
To kill two birds with one stone,Faire d’une pierre deux coups,birdsStone.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire l'accomplissement de deux tâches en une seule action, symbole d'efficacité",2
Like father like son,Tel père tel fils,fatherSon.jpg,"Cette expression est utilisée depuis le XIVème siècle pour décrire la ressemblance entre un père et son fils. Elle fait référence à l'idée que les enfants héritent souvent des caractéristiques de leurs parents, qu'elles soient physiques ou comportementales.",1
When pigs fly,Quand les poules auront des dents,pig.jpg,"L'origine de cette expression est la version latine du XVIème siècle : 'cum porcis volare cum suis alis'. Elle est utilisée depuis le XVIème siècle.",2
Tit for tat,Œil pour œil dent pour dent,titForTat.webp,"Cette expression est utilisée depuis le XVIème siècle pour décrire la pratique de rendre la pareille à quelqu'un qui a causé du tort. Elle fait référence à l'idée de rendre coup pour coup, de manière égale.",2
Better late than never,Mieux vaut tard que jamais,lateNever.jpg,"Cette expression est utilisée depuis le XVIème siècle pour encourager à faire quelque chose même si c'est tard. Elle fait référence à l'idée qu'il vaut mieux faire quelque chose tardivement que de ne pas le faire du tout.",1
The early bird catches the worm,Le monde appartient à celui qui se lève tôt,earlyBird.jpg,"Cette expression est utilisée depuis le XVIème siècle pour encourager à profiter au maximum des opportunités d'une journée. Elle fait référence à l'idée que les oiseaux qui se lèvent tôt ont plus de chances d'attraper des vers.",2
To put the cart before the horse,Mettre la charrue avant les bœufs,cartHorse.jpg,"Datant du XVIème siècle, cette expression décrit une action contre-productive. Ainsi, elle encourage à faire les choses dans l'ordre.",2
Spare the rod spare the child,Qui aime bien châtie bien,spareTheRod.webp,"Cette expression est utilisée depuis le XVIIème siècle pour encourager la discipline des enfants. Elle fait référence à l'idée que la punition est nécessaire pour éduquer les enfants, bien que cette idée soit aujourd'hui controversée.",2
You cannot have your cake and eat it too,On ne peut pas avoir le beurre et l’argent du beurre,cakeEat.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire le fait de vouloir deux choses incompatibles. Elle fait référence à l'idée qu'on ne peut pas manger un gâteau et le garder en même temps.",2
It’s up to you,C’est à toi de décider,upToYou.webp,"Cette expression est utilisée depuis le XIXème siècle pour laisser à quelqu'un le choix ou la responsabilité de faire quelque chose.",3
See you soon,A bientôt,seeYouSoon.webp,"Cette expression est utilisée depuis le XIXème siècle pour dire au revoir avec l'intention de se revoir bientôt. Son origine exacte est inconnue, mais elle est devenue une formule de politesse courante.",3
Break a leg,Bonne chance,breakLeg.jpg,Cette expression proviendrait du milieu théâtrale. Les acteurs doivent en effet se 'casser la jambe' pour saluer le public à la fin de la représentation.,3
So far so good,Jusqu’ici tout va bien,,"Cette expression est utilisée depuis le XIXème siècle pour dire que les choses se passent bien jusqu'à présent. Son origine exacte est inconnue, mais elle est devenue une formule courante pour exprimer la satisfaction provisoire.",4
Pull yourself together,Calme-toi,pullTogether.jpg,"Cette expression est utilisée depuis le XIXème siècle pour encourager quelqu'un à se reprendre en main, à se calmer ou à se ressaisir. Elle fait référence à l'idée de rassembler ses forces et ses émotions pour faire face à une situation.",3
Speak of the devil,Quand on parle du loup,speakDevil.jpg,"Cette expression remonte à l'époque médiévale. On croyait alors qu'évoquer le nom du diable le faisait surgir.",2
To bite off more than you can chew,Avoir les yeux plus gros que le ventre,biteMore.jpg,"Cette expression est utilisée depuis le XIXème siècle pour décrire le fait de prendre plus de responsabilités ou de défis qu'on ne peut en gérer.",2
To be in a pickle,Avoir un petit problème,pickle.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire une situation difficile ou embarrassante. Elle fait référence à l'idée d'être pris dans du vinaigre, comme un cornichon dans un bocal.",3
To butter someone up,Passer de la pomade,butterUp.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire le fait de flatter quelqu'un pour obtenir ses faveurs. Elle fait référence à l'idée d'étaler du beurre sur du pain, symbole de douceur et de richesse.",3
In a nutshell,Très simplement/clairement,nutshell.jpg,"Cette expression est utilisée depuis le XVIème siècle pour décrire quelque chose de manière concise et claire. Elle fait référence à l'idée qu'une noix peut contenir un espace limité, donc l'information doit être condensée.",3
